stop_id,stop_name,stop_lat,stop_lon
de:15084:23009,"Bad Bibra, Landambulatorium",51.206158,11.579741
de:15084:4471,"Bad Bibra, Neubaublock",51.208148,11.587324
de:15084:4476,"Bad Bibra, Schule",51.202382,11.579702
de:15084:4428,"Bad Bibra, Thüringer Hof",51.207248,11.583309
de:15084:5710,"Bad Bibra, Verwaltungsamt",51.205222,11.587074
de:14730:11244,"Bad Düben (Mulde), Abzweig Bahnhof",51.590116,12.595733
de:14730:11196,"Bad Düben (Mulde), Alaunwerksweg/Mühldorfer Str.",51.605263,12.565869
de:14730:11253,"Bad Düben (Mulde), Alaunwerksweg/Wendestelle",51.608065,12.552038
de:14730:30417,"Bad Düben (Mulde), Evangelisches Schulzentrum",51.599750,12.606140
de:14730:20324,"Bad Düben (Mulde), Friedhofstr.",51.594771,12.583194
de:14730:13130,"Bad Düben (Mulde), Heide Spa",51.600199,12.578019
de:14730:12382,"Bad Düben (Mulde), Körbitzweg",51.587301,12.596044
de:14730:10975,"Bad Düben (Mulde), Lutherstr.",51.592517,12.583969
de:14730:30418,"Bad Düben (Mulde), Obermühle/Museumsdorf",51.602006,12.584183
de:14730:10900,"Bad Düben (Mulde), Paradeplatz",51.591346,12.588468
de:14730:30616,"Bad Düben (Mulde), Postweg",51.596173,12.593786
de:14730:11034,"Bad Düben (Mulde), Profiroll",51.588826,12.574988
de:14730:11032,"Bad Düben (Mulde), Reinharzer Str.",51.615330,12.592196
de:14730:11736,"Bad Düben (Mulde), Schmiedeberger Str.",51.595518,12.589634
de:14730:10653,"Bad Düben (Mulde), Waldkrankenhaus/Rehaklinik",51.598387,12.584634
de:14730:10655,"Bad Düben (Mulde), Windmühlenweg",51.598311,12.587718
de:14730:10879,"Bad Düben (Mulde), Wittenberger Str.",51.622524,12.586018
de:14730:10882,"Bad Düben (Mulde), Wittenberger Str./NaturSportBad",51.617605,12.584547
de:14730:10782,"Bad Düben (Mulde), Wittenberger Str./Paul-Kaiser-Str.",51.608927,12.583992
de:14730:30419,"Bad Düben (Mulde), Wittenberger Str./Waldstr.",51.614642,12.584992
de:15088:8011071,Bad Dürrenberg,51.305165,12.071053
de:15088:5043,"Bad Dürrenberg, Bahnhof (Tram/Bus)",51.304217,12.070102
de:15088:700,"Bad Dürrenberg, Breite Str.",51.298459,12.069718
de:15088:9599,"Bad Dürrenberg, Engelsschule",51.293414,12.070863
de:15088:7035,"Bad Dürrenberg, Gradierwerk",51.295817,12.063605
de:15088:30879,"Bad Dürrenberg, Heinrich-Heine-Str.",51.297965,12.069730
de:15088:22787,"Bad Dürrenberg, Kurpark (Bus)",51.292797,12.064993
de:15088:5222,"Bad Dürrenberg, Kurpark (Tram)",51.298955,12.060943
de:15088:692,"Bad Dürrenberg, Markt",51.303313,12.070313
de:15088:30993,"Bad Dürrenberg, Marktplatz",51.301785,12.070282
de:15088:30904,"Bad Dürrenberg, Parkstr.",51.292633,12.065111
de:15088:5081,"Bad Dürrenberg, Platz der Freiheit",51.300623,12.065199
de:15088:3530,"Bad Dürrenberg, Post",51.295374,12.063788
de:15088:30880,"Bad Dürrenberg, Schladebacher Str.",51.293200,12.070622
de:15088:3534,"Bad Dürrenberg, Siedlung",51.285362,12.066677
de:15084:8010019,Bad Kösen,51.130742,11.718274
de:15084:4404,"Bad Kösen, Bahnhof (Bus)",51.131000,11.718766
de:15084:4405,"Bad Kösen, Borlachschule",51.130663,11.716603
de:15084:22375,"Bad Kösen, Eckartsbergaer Str.",51.135017,11.716516
de:15084:30969,"Bad Kösen, Elly-Kutscher-Str.",51.134164,11.741088
de:15084:4467,"Bad Kösen, Hermann-Lielje-Ring",51.132448,11.731855
de:15084:4468,"Bad Kösen, Katze",51.124724,11.716440
de:15084:4412,"Bad Kösen, Kaufhalle",51.136915,11.721101
de:15084:4414,"Bad Kösen, Kirchplatz",51.134731,11.716428
de:15084:4465,"Bad Kösen, Kukulauer Str.",51.128332,11.726011
de:15084:22827,"Bad Kösen, Lindenstr.",51.134298,11.716517
de:15084:4466,"Bad Kösen, Niddaer Str.",51.131762,11.727728
de:15084:4411,"Bad Kösen, Schulpforte",51.142065,11.749617
de:16076:8011074,Bad Köstritz,50.931590,12.028452
de:16064:8010020,Bad Langensalza,51.101701,10.640671
de:15088:9606,"Bad Lauchstädt, Am Schloss",51.387590,11.864835
de:15088:30836,"Bad Lauchstädt, Am Theater",51.388666,11.864586
de:15088:9602,"Bad Lauchstädt, Bahnhof (Bus)",51.389196,11.871215
de:15088:30641,"Bad Lauchstädt, Feldgraben",51.385735,11.870467
de:15088:9618,"Bad Lauchstädt, Hallesche Str.",51.391005,11.871170
de:15088:9605,"Bad Lauchstädt, Markt",51.387389,11.867941
de:15088:9628,"Bad Lauchstädt, Zentrales Umspannwerk",51.406168,11.888868
de:14729:8011077,Bad Lausick,51.143803,12.648695
de:14729:12869,"Bad Lausick, Am Riff",51.144247,12.654469
de:14729:30402,"Bad Lausick, An der Kaoline",51.143713,12.628308
de:14729:30298,"Bad Lausick, Badstr.",51.146756,12.646418
de:14729:30300,"Bad Lausick, Bahnhof/Ostseite",51.144576,12.649119
de:14729:12509,"Bad Lausick, Bahnhof/Westseite",51.144262,12.647651
de:14729:16794,"Bad Lausick, Ballendorfer Str.",51.140175,12.657277
de:14729:30403,"Bad Lausick, Bornaer Str.",51.143764,12.632744
de:14729:13158,"Bad Lausick, Dr.-Schützhold-Platz",51.149490,12.655898
de:14729:30299,"Bad Lausick, Erich-Weinert-Str.",51.141878,12.653995
de:14729:30446,"Bad Lausick, Gewerbegebiet",51.146905,12.634706
de:14729:30453,"Bad Lausick, Heinrich-Heine-Str.",51.142929,12.650876
de:14729:11168,"Bad Lausick, Schillerstr.",51.146893,12.658109
de:14729:11171,"Bad Lausick, Turnerstr.",51.142747,12.640283
de:12062:900415240,Bad Liebenwerda,51.518401,13.402930
de:15091:11520,"Bad Schmiedeberg, Bahnhof (Bus)",51.688932,12.743369
de:15091:10846,"Bad Schmiedeberg, Dommitzscher Str.",51.683090,12.735378
de:15091:16308,"Bad Schmiedeberg, Kurzentrum (Bus)",51.680038,12.733810
de:16071:8011085,Bad Sulza,51.094767,11.634595
de:14730:17198,Baderitz (Mügeln),51.220810,13.019208
de:14730:13266,"Badrina (Schönwölkau), Kindergarten",51.538543,12.488766
de:15088:9631,"Bageritz (Landsberg), Ortsmitte",51.480907,12.163854
000735276,"Bahnhof, Teltow",52.388570,13.300954
000690978,"Bahnhof, Unterwellenborn",50.658792,11.435162
de:12066:900435800,Bahnsdorf,51.581745,14.112288
de:14729:16859,"Bahren (Grimma), Kameruner Str.",51.251437,12.768323
de:15088:9608,Balditz (Bad Dürrenberg),51.290334,12.081749
de:15084:8011103,Balgstädt,51.208295,11.738454
de:15084:4462,Balgstädt (Bus),51.205186,11.732539
de:15084:4340,"Balgstädt, Größnitzer Str.",51.203405,11.733722
de:14729:16797,Ballendorf (Bad Lausick),51.137098,12.691053
de:14729:30214,"Ballendorf (Bad Lausick), Alte Dorfstr.",51.134813,12.696474
de:15088:4108,Barnstädt,51.344448,11.638667
de:15088:9609,"Barnstädt, Schule",51.344154,11.641737
de:14730:11510,Battaune (Doberschütz),51.529741,12.728966
de:15084:5682,Baumersroda (Gleina),51.262798,11.757811
de:15089:8011119,Bebitz,51.724136,11.763967
de:14730:71999,"Beckwitz (Torgau), Ernst-Thälmann-Str.",51.496023,12.996311
de:14730:6483,"Beckwitz (Torgau), Gaststätte Flotte",51.495270,12.990698
de:14730:17199,"Beckwitz (Torgau), Waldschlößchen",51.507200,12.979176
de:14730:12224,"Beerendorf (Delitzsch), Kirche",51.523256,12.373970
de:14730:12218,"Beerendorf (Delitzsch), Ost",51.532878,12.412455
de:14730:15864,"Beerendorf (Delitzsch), Seniorenheim",51.522333,12.372014
de:14730:13013,"Beerendorf (Delitzsch), Teich",51.524337,12.377971
de:16077:12763,"Beerwalde (Löbichau), Alte Str./Industriegebiet",50.876249,12.224985
de:16077:12077,"Beerwalde (Löbichau), Ort",50.879308,12.234009
de:16077:10826,"Beerwalde (Löbichau), Teich",50.878096,12.227117
de:16077:30290,"Beerwalde (Löbichau), Windmühlenstr./Industriegebiet",50.875725,12.225390
de:15088:2708,"Beesenstedt (Salzatal), Freister Str.",51.568105,11.729954
de:15088:9568,"Beesenstedt (Salzatal), Kirchplatz",51.570004,11.737209
de:15088:2036,"Beesenstedt (Salzatal), Schule",51.566531,11.726527
de:14730:12104,Behlitz (Eilenburg),51.465395,12.527473
de:14522:80138,Beicha (Mochau),51.156701,13.230881
de:15088:9646,"Beidersee (Morl), Bahnhofstr.",51.565763,11.905242
de:16077:12727,"Beiern (Langenleuba-Niederhain), Gasthof",50.946529,12.608429
de:14522:80139,"Beiersdorf (Bockelwitz), Trockenwerk",51.188182,12.972444
de:14729:16799,"Beiersdorf (Grimma), Grimmaer Str.",51.258838,12.689989
de:14729:16800,"Beiersdorf (Grimma), Neue Seelingstädter Str.",51.262305,12.687271
de:14729:16801,"Beiersdorf (Grimma), Steinbruch",51.269398,12.667900
de:14730:8011131,Beilrode,51.571005,13.064935
