from_stop_id,to_stop_id,transfer_type,min_transfer_time
de:14729:12549,de:14729:11094,2,480
de:14729:12549,de:14729:8012526,2,120
de:14729:12551,de:14729:8011755,2,300
de:14713:12556,de:14713:8012355,2,720
de:14713:12558,de:14713:11524,2,300
de:16077:12569,de:16077:8012661,2,360
de:14730:12602,de:14730:12604,2,120
de:14730:12602,de:14730:12606,2,480
de:14730:12604,de:14730:11552,2,120
de:14730:12604,de:14730:12602,2,120
de:14730:12606,de:14730:11552,2,480
de:14730:12606,de:14730:12602,2,480
de:14730:12653,de:14730:8011983,2,300
de:14730:12654,de:14730:8011959,2,240
de:14730:12692,de:14730:8012865,2,240
de:14713:12707,de:14713:8010207,2,360
de:14713:12711,de:14713:8012273,2,240
de:14730:12736,de:14730:10878,2,720
de:14730:12736,de:14730:12737,2,600
de:14730:12737,de:14730:10878,2,300
de:14730:12737,de:14730:12736,2,600
de:16077:12740,de:16077:8010202,2,360
de:14729:12751,de:14729:8013471,2,240
de:14730:12811,de:14730:11066,2,180
de:14730:12811,de:14730:15865,2,540
de:14730:12811,de:14730:8013093,2,540
de:14713:12851,de:14713:8080930,2,960
de:14729:12895,de:14729:12487,2,300
de:14713:12967,de:14713:11320,2,120
de:14713:12969,de:14713:8012188,2,360
de:14713:12972,de:14713:8012188,2,480
de:14713:12974,de:14713:8012181,2,720
de:14713:12974,de:14713:8012193,2,420
de:14713:12992,de:14713:8012202,2,360
de:14713:12995,de:14713:10811,2,420
de:14713:12995,de:14713:11412,2,600
de:14713:12995,de:14713:13000,2,300
de:14713:12995,de:14713:15738,2,360
de:14713:12995,de:14713:8010205,2,600
de:14713:12995,de:14713:8098205,2,360
de:14729:12997,de:14729:30960,2,300
de:14729:12997,de:14729:31131,2,120
de:14729:12997,de:14729:8010228,2,300
de:14713:13000,de:14713:10811,2,300
de:14713:13000,de:14713:11412,2,300
de:14713:13000,de:14713:12995,2,300
de:14713:13000,de:14713:15738,2,240
de:14713:13000,de:14713:8010205,2,420
